Kind,Name,AvgCyclomatic,CountLine
Public Static Method,"org.apache.commons.io.Charsets.requiredCharsets",,23
Public Static Method,"org.apache.commons.io.Charsets.toCharset",,10
Public Static Method,"org.apache.commons.io.Charsets.toCharset",,12
Public Class,"org.apache.commons.io.CharsetsTestCase",1,58
Public Method,"org.apache.commons.io.CharsetsTestCase.testIso8859_1",,3
Public Method,"org.apache.commons.io.CharsetsTestCase.testRequiredCharsets",,11
Public Method,"org.apache.commons.io.CharsetsTestCase.testToCharset",,6
Public Method,"org.apache.commons.io.CharsetsTestCase.testUsAscii",,3
Public Method,"org.apache.commons.io.CharsetsTestCase.testUtf16",,3
Public Method,"org.apache.commons.io.CharsetsTestCase.testUtf16Be",,3
Public Method,"org.apache.commons.io.CharsetsTestCase.testUtf16Le",,3
Public Method,"org.apache.commons.io.CharsetsTestCase.testUtf8",,3
Public Class,"org.apache.commons.io.CopyUtils",1,361
Public Constructor,"org.apache.commons.io.CopyUtils.CopyUtils",,4
Public Static Method,"org.apache.commons.io.CopyUtils.copy",,10
Public Static Method,"org.apache.commons.io.CopyUtils.copy",,14
Public Static Method,"org.apache.commons.io.CopyUtils.copy",,18
Public Static Method,"org.apache.commons.io.CopyUtils.copy",,21
Public Static Method,"org.apache.commons.io.CopyUtils.copy",,20
Public Static Method,"org.apache.commons.io.CopyUtils.copy",,17
Public Static Method,"org.apache.commons.io.CopyUtils.copy",,18
Public Static Method,"org.apache.commons.io.CopyUtils.copy",,20
Public Static Method,"org.apache.commons.io.CopyUtils.copy",,22
Public Static Method,"org.apache.commons.io.CopyUtils.copy",,22
Public Static Method,"org.apache.commons.io.CopyUtils.copy",,24
Public Static Method,"org.apache.commons.io.CopyUtils.copy",,10
Public Class,"org.apache.commons.io.CopyUtilsTest",1,183
Public Method,"org.apache.commons.io.CopyUtilsTest.copy_byteArrayToOutputStream",,9
Public Method,"org.apache.commons.io.CopyUtilsTest.copy_byteArrayToWriter",,11
Public Method,"org.apache.commons.io.CopyUtilsTest.copy_inputStreamToWriter",,15
Public Method,"org.apache.commons.io.CopyUtilsTest.copy_inputStreamToWriterWithEncoding",,7
Public Method,"org.apache.commons.io.CopyUtilsTest.copy_readerToWriter",,18
Public Method,"org.apache.commons.io.CopyUtilsTest.copy_stringToOutputStream",,17
Public Method,"org.apache.commons.io.CopyUtilsTest.copy_stringToWriter",,13
Public Method,"org.apache.commons.io.CopyUtilsTest.testCopy_byteArrayToWriterWithEncoding",,7
Public Method,"org.apache.commons.io.CopyUtilsTest.testCopy_inputStreamToOutputStream",,14
Public Method,"org.apache.commons.io.CopyUtilsTest.testCopy_readerToOutputStream",,19
Public Method,"org.apache.commons.io.CopyUtilsTest.testCtor",,4
Public Class,"org.apache.commons.io.DemuxTestCase",1,175
Private Static Class,"org.apache.commons.io.DemuxTestCase.ReaderThread",1,37
Constructor,"org.apache.commons.io.DemuxTestCase.ReaderThread.ReaderThread",,7
Public Method,"org.apache.commons.io.DemuxTestCase.ReaderThread.getData",,3
Public Method,"org.apache.commons.io.DemuxTestCase.ReaderThread.run",,17
Private Static Class,"org.apache.commons.io.DemuxTestCase.WriterThread",2,31
Constructor,"org.apache.commons.io.DemuxTestCase.WriterThread.WriterThread",,9
Public Method,"org.apache.commons.io.DemuxTestCase.WriterThread.run",,13
Private Method,"org.apache.commons.io.DemuxTestCase.doJoin",,7
Private Method,"org.apache.commons.io.DemuxTestCase.doStart",,7
Private Method,"org.apache.commons.io.DemuxTestCase.getInput",,6
Private Method,"org.apache.commons.io.DemuxTestCase.getOutput",,7
